AE SCR 2CFC20 ALARM:6854:-:Average:900;AESCR_ALARM_AVERAGE
AE2 ENG SPEED BACK U:2747:RPM:Average:900;testAE2 ENG SPEED BACK U:2747:RPM:Average:900
AE2 ENG SPEED:2745:RPM:Average:900;testAE2 ENG SPEED:2745:RPM:Average:900
AE2 ENG SPEED:2746:-:Average:3600;testAE2 ENG SPEED:2746:-:Average:3600
AE2 ENG SPEED:2746:-:Average:900;testAE2 ENG SPEED:2746:-:Average:900
AE2 ENG SPEED:2746:-:Raw data:900;testAE2 ENG SPEED:2746:-:Raw data:900
AE2 EXH CA INLET 1:2541:  C:Average:900;testAE2 EXH CA INLET 1:2541:  C:Average:900
AE2 EXH CA INLET 2:2542:  C:Average:900;testAE2 EXH CA INLET 2:2542:  C:Average:900
AE2 EXH CA OUTET 1:2543:  C:Average:900;testAE2 EXH CA OUTET 1:2543:  C:Average:900
AE2 EXH G AFT CYL A1:2592:  C:Average:900;testAE2 EXH G AFT CYL A1:2592:  C:Average:900
AE2 EXH G AFT CYL A2:2593:  C:Average:900;testAE2 EXH G AFT CYL A2:2593:  C:Average:900
AE2 EXH G AFT CYL A3:2594:  C:Average:900;testAE2 EXH G AFT CYL A3:2594:  C:Average:900
AE2 EXH G AFT CYL A4:2595:  C:Average:900;testAE2 EXH G AFT CYL A4:2595:  C:Average:900
AE2 EXH G AFT CYL A5:2596:  C:Average:900;testAE2 EXH G AFT CYL A5:2596:  C:Average:900
AE2 EXH G AFT CYL A6:2597:  C:Average:900;testAE2 EXH G AFT CYL A6:2597:  C:Average:900
AE2 EXH MEAN VALUE:2591:  C:Average:3600;testAE2 EXH MEAN VALUE:2591:  C:Average:3600
AE2 EXH MEAN VALUE:2591:  C:Average:900;testAE2 EXH MEAN VALUE:2591:  C:Average:900
AE2 EXH MEAN VALUE:2591:  C:Raw data:900;testAE2 EXH MEAN VALUE:2591:  C:Raw data:900
AE2 FO DIRTY OIL FLY:2602:-:Average:900;testAE2 FO DIRTY OIL FLY:2602:-:Average:900
AE2 FO INJECTION PIP:2601:-:Average:900;testAE2 FO INJECTION PIP:2601:-:Average:900
AE2 FO INLET TEMP:2605:  C:Average:900;testAE2 FO INLET TEMP:2605:  C:Average:900
AE2 FREQUENCY:5522:Hz:Average:900;testAE2 FREQUENCY:5522:Hz:Average:900
AE2 FUEL RACK POSIT:2742:mm:Average:3600;testAE2 FUEL RACK POSIT:2742:mm:Average:3600
AE2 FUEL RACK POSIT:2742:mm:Average:900;testAE2 FUEL RACK POSIT:2742:mm:Average:900
AE2 FUEL RACK POSIT:2742:mm:Raw data:900;testAE2 FUEL RACK POSIT:2742:mm:Raw data:900
AE2 HT CAC OTL TEMP:2644:  C:Average:900;testAE2 HT CAC OTL TEMP:2644:  C:Average:900
AE2 HT INLET PRESS:2631:Bar:Average:900;testAE2 HT INLET PRESS:2631:Bar:Average:900
AE2 HT INLET TEMP:2635:  C:Average:900;testAE2 HT INLET TEMP:2635:  C:Average:900
AE2 HT OUTLET TEMP:2637:  C:Average:900;testAE2 HT OUTLET TEMP:2637:  C:Average:900
AE2 HT OUTLET TEMP:2639:-:Average:900;testAE2 HT OUTLET TEMP:2639:-:Average:900
AE2 HT OUTLET TEMP:2641:  C:Average:900;testAE2 HT OUTLET TEMP:2641:  C:Average:900
AE2 HT OUTLET TEMP:2643:-:Average:900;testAE2 HT OUTLET TEMP:2643:-:Average:900
AE2 LO INLET PRESS:2612:Bar:Average:900;testAE2 LO INLET PRESS:2612:Bar:Average:900
AE2 LO INLET PRESS:2614:-:Average:900;testAE2 LO INLET PRESS:2614:-:Average:900
AE2 LO INLET TEMP:2617:  C:Average:900;testAE2 LO INLET TEMP:2617:  C:Average:900
AE2 LT CAC INL TEMP:2645:  C:Average:900;testAE2 LT CAC INL TEMP:2645:  C:Average:900
AE2 LT CAC INLET PRE:2633:Bar:Average:900;testAE2 LT CAC INLET PRE:2633:Bar:Average:900
AE2 LT CAC OTL TEMP:2647:  C:Average:900;testAE2 LT CAC OTL TEMP:2647:  C:Average:900
AE2 LT LOC OTL TEMP:2648:  C:Average:900;testAE2 LT LOC OTL TEMP:2648:  C:Average:900
AE2 POWER:5523:kW:Average:900;testAE2 POWER:5523:kW:Average:900
AE2 RUN HOURS (1-999:2752:nan:Average:900;testAE2 RUN HOURS (1-999:2752:nan:Average:900
AE2 RUN HOURS (>1000:2753:nan:Average:900;testAE2 RUN HOURS (>1000:2753:nan:Average:900
AE2 RUNNING:25004:-:Average:3600;testAE2 RUNNING:25004:-:Average:3600
AE2 RUNNING:25004:-:Raw data:900;testAE2 RUNNING:25004:-:Raw data:900
AE2 RUNNING:2769:-:Average:3600;testAE2 RUNNING:2769:-:Average:3600
AE2 RUNNING:2769:-:Raw data:900;testAE2 RUNNING:2769:-:Raw data:900
AE2 SCR CF54 RED AG:2941:l/h:Average:900;testAE2 SCR CF54 RED AG:2941:l/h:Average:900
AE2 SCR CP153 COMP A:2918:-:Average:900;testAE2 SCR CP153 COMP A:2918:-:Average:900
AE2 SCR CP154 COMP A:2917:-:Average:900;testAE2 SCR CP154 COMP A:2917:-:Average:900
AE2 SCR CP53 RED AG:2942:bar:Average:900;testAE2 SCR CP53 RED AG:2942:bar:Average:900
AE2 SCR CP58 DIFF PR:2938:mbar:Average:900;testAE2 SCR CP58 DIFF PR:2938:mbar:Average:900
AE2 SCR CT55 TEMP IN:2939:C:Average:900;testAE2 SCR CT55 TEMP IN:2939:C:Average:900
AE2 SCR CT56 TEMP OT:2940:C:Average:900;testAE2 SCR CT56 TEMP OT:2940:C:Average:900
AE2 SCR FUSE FAULT:2946:-:Average:900;testAE2 SCR FUSE FAULT:2946:-:Average:900
AE2 SCR GAS SAMPLE L:2922:-:Average:900;testAE2 SCR GAS SAMPLE L:2922:-:Average:900
AE2 SCR GAS SAMPLE P:2921:-:Average:900;testAE2 SCR GAS SAMPLE P:2921:-:Average:900
AE2 SCR LOAD SIGNAL:2923:-:Average:900;testAE2 SCR LOAD SIGNAL:2923:-:Average:900
AE2 SCR NOX LEVEL:2944:ppm:Average:900;testAE2 SCR NOX LEVEL:2944:ppm:Average:900
AE2 SCR NOX LEVEL:2944CALC:g/kWh:Average:900;testAE2 SCR NOX LEVEL:2944CALC:g/kWh:Average:900
